Gmt time,Open,High,Low,Close,Volume
07.01.2019 00:00:00.000,108.550,108.604,108.457,108.474,12567.3096
07.01.2019 01:00:00.000,108.475,108.539,108.321,108.369,10983.9102
07.01.2019 02:00:00.000,108.371,108.391,108.234,108.234,7877.2598
07.01.2019 03:00:00.000,108.234,108.269,108.068,108.137,8232.5
07.01.2019 04:00:00.000,108.135,108.303,108.019,108.301,8495.29
07.01.2019 05:00:00.000,108.301,108.313,108.147,108.191,5699.1401
07.01.2019 06:00:00.000,108.193,108.260,108.161,108.210,4377.73
07.01.2019 07:00:00.000,108.211,108.273,108.091,108.187,13292.9297
07.01.2019 08:00:00.000,108.187,108.262,108.067,108.195,9238.5801
07.01.2019 09:00:00.000,108.195,108.228,108.120,108.196,7947.5298
07.01.2019 10:00:00.000,108.196,108.363,108.146,108.350,7844.6899
07.01.2019 11:00:00.000,108.353,108.404,108.321,108.356,5794.1802
07.01.2019 12:00:00.000,108.355,108.355,108.228,108.260,6612.9102
07.01.2019 13:00:00.000,108.258,108.407,108.211,108.354,10335.6201
07.01.2019 14:00:00.000,108.354,108.374,108.215,108.314,16550.7891
07.01.2019 15:00:00.000,108.314,108.544,108.208,108.435,23396.4199
07.01.2019 16:00:00.000,108.435,108.636,108.423,108.622,13467.5801
07.01.2019 17:00:00.000,108.622,108.647,108.559,108.604,10580.25
07.01.2019 18:00:00.000,108.606,108.676,108.515,108.568,10305.7002
07.01.2019 19:00:00.000,108.568,108.632,108.539,108.596,9060.5498
07.01.2019 20:00:00.000,108.595,108.747,108.591,108.706,6200.3701
07.01.2019 21:00:00.000,108.707,108.742,108.663,108.705,2615.22
07.01.2019 22:00:00.000,108.702,108.707,108.628,108.654,3494.4199
07.01.2019 23:00:00.000,108.656,108.673,108.594,108.626,3661.78
08.01.2019 00:00:00.000,108.627,108.773,108.612,108.735,8958.7998
08.01.2019 01:00:00.000,108.735,108.749,108.512,108.560,11674.54
08.01.2019 02:00:00.000,108.559,108.750,108.527,108.712,9227.1602
08.01.2019 03:00:00.000,108.713,108.917,108.617,108.878,7810.2998
08.01.2019 04:00:00.000,108.878,108.997,108.876,108.987,7157.2202
08.01.2019 05:00:00.000,108.987,108.996,108.780,108.785,7517.8198
08.01.2019 06:00:00.000,108.784,108.889,108.736,108.883,5566.1499
08.01.2019 07:00:00.000,108.882,109.087,108.826,108.981,12419.2402
08.01.2019 08:00:00.000,108.979,109.018,108.880,108.911,10538.8896
08.01.2019 09:00:00.000,108.912,108.946,108.805,108.872,8428.79
08.01.2019 10:00:00.000,108.875,108.902,108.674,108.719,8431.5703
08.01.2019 11:00:00.000,108.718,108.790,108.686,108.726,7058.02
08.01.2019 12:00:00.000,108.726,108.767,108.601,108.765,7627.52
08.01.2019 13:00:00.000,108.765,108.880,108.704,108.872,13465.0898
08.01.2019 14:00:00.000,108.873,108.960,108.815,108.858,14889.9102
08.01.2019 15:00:00.000,108.860,108.894,108.596,108.617,16892.7402
08.01.2019 16:00:00.000,108.618,108.670,108.441,108.582,15846.4805
08.01.2019 17:00:00.000,108.581,108.645,108.497,108.589,9709.7998
08.01.2019 18:00:00.000,108.588,108.676,108.561,108.643,9489.2002
08.01.2019 19:00:00.000,108.643,108.683,108.621,108.649,7437.7202
08.01.2019 20:00:00.000,108.648,108.799,108.622,108.763,5733.0098
08.01.2019 21:00:00.000,108.761,108.833,108.714,108.723,2870.21
08.01.2019 22:00:00.000,108.727,108.858,108.689,108.785,6994.79
08.01.2019 23:00:00.000,108.784,108.830,108.749,108.751,3314.3201
09.01.2019 00:00:00.000,108.752,108.846,108.692,108.711,10399.1904
09.01.2019 01:00:00.000,108.711,108.801,108.681,108.790,9393.71
09.01.2019 02:00:00.000,108.790,109.001,108.776,108.907,10375.1602
09.01.2019 03:00:00.000,108.907,108.946,108.831,108.898,5594.96
09.01.2019 04:00:00.000,108.900,108.944,108.835,108.864,5212.27
09.01.2019 05:00:00.000,108.867,108.923,108.819,108.854,5396.73
09.01.2019 06:00:00.000,108.853,108.892,108.815,108.834,4711.27
09.01.2019 07:00:00.000,108.834,108.990,108.816,108.914,8738.9297
09.01.2019 08:00:00.000,108.914,108.930,108.790,108.871,9164.1104
09.01.2019 09:00:00.000,108.874,108.965,108.869,108.906,6648.4199
09.01.2019 10:00:00.000,108.907,108.942,108.877,108.886,6306.52
09.01.2019 11:00:00.000,108.887,108.926,108.841,108.912,6602.6201
09.01.2019 12:00:00.000,108.911,108.941,108.865,108.882,7713.0601
09.01.2019 13:00:00.000,108.882,108.883,108.724,108.748,9333.4199
09.01.2019 14:00:00.000,108.748,108.754,108.418,108.446,17351.1191
09.01.2019 15:00:00.000,108.446,108.515,108.050,108.188,23372.3301
09.01.2019 16:00:00.000,108.187,108.417,108.174,108.391,14466.8896
09.01.2019 17:00:00.000,108.392,108.399,108.268,108.316,7905.7598
09.01.2019 18:00:00.000,108.317,108.327,108.213,108.266,7428.2798
09.01.2019 19:00:00.000,108.266,108.365,108.031,108.278,20557.0605
09.01.2019 20:00:00.000,108.278,108.315,107.971,108.005,11870.7695
09.01.2019 21:00:00.000,108.003,108.168,108.001,108.158,3124.6399
09.01.2019 22:00:00.000,108.158,108.168,108.100,108.156,4568.0498
09.01.2019 23:00:00.000,108.155,108.231,108.150,108.185,5898.3198
10.01.2019 00:00:00.000,108.184,108.257,107.984,108.014,14876.8896
10.01.2019 01:00:00.000,108.013,108.023,107.843,107.972,19798.4707
10.01.2019 02:00:00.000,107.971,108.000,107.869,107.976,10359.2803
10.01.2019 03:00:00.000,107.975,107.993,107.859,107.874,8777.6201
10.01.2019 04:00:00.000,107.873,107.981,107.819,107.975,5907.3398
10.01.2019 05:00:00.000,107.975,107.984,107.875,107.909,5534.6299
10.01.2019 06:00:00.000,107.909,107.952,107.769,107.823,6359.02
10.01.2019 07:00:00.000,107.825,107.936,107.821,107.921,9932.25
10.01.2019 08:00:00.000,107.921,108.051,107.823,108.042,10376.0098
10.01.2019 09:00:00.000,108.045,108.148,108.035,108.093,10247.9697
10.01.2019 10:00:00.000,108.093,108.227,108.093,108.131,7115.2402
10.01.2019 11:00:00.000,108.132,108.132,107.963,108.030,6793.6201
10.01.2019 12:00:00.000,108.033,108.121,108.031,108.082,7703.46
10.01.2019 13:00:00.000,108.082,108.198,108.053,108.191,9124.96
10.01.2019 14:00:00.000,108.191,108.222,107.919,108.007,15567.7695
10.01.2019 15:00:00.000,108.005,108.225,107.989,108.202,16886.9199
10.01.2019 16:00:00.000,108.201,108.340,108.191,108.291,13498.5703
10.01.2019 17:00:00.000,108.290,108.434,108.227,108.392,11881.0898
10.01.2019 18:00:00.000,108.392,108.443,108.203,108.343,15586.3896
10.01.2019 19:00:00.000,108.341,108.459,108.341,108.417,10579.96
10.01.2019 20:00:00.000,108.416,108.493,108.404,108.481,6138.1401
10.01.2019 21:00:00.000,108.480,108.518,108.423,108.425,2723.29
10.01.2019 22:00:00.000,108.425,108.440,108.366,108.435,5645.3301
10.01.2019 23:00:00.000,108.433,108.456,108.282,108.282,5628.3101
