Gmt time,Open,High,Low,Close,Volume
06.01.2019 22:00:00.000,108.503,108.747,108.019,108.705,221695.36899999998
07.01.2019 22:00:00.000,108.702,109.087,108.441,108.723,215906.3804
08.01.2019 22:00:00.000,108.727,109.001,107.971,108.158,221976.3291
09.01.2019 22:00:00.000,108.158,108.518,107.769,108.425,236235.25899999996
10.01.2019 22:00:00.000,108.425,108.597,108.145,108.528,184027.9202
11.01.2019 22:00:00.000,108.528,108.528,108.528,108.528,0
12.01.2019 22:00:00.000,108.528,108.528,108.528,108.528,0
13.01.2019 22:00:00.000,108.499,108.555,107.986,108.157,143841.03879999998
14.01.2019 22:00:00.000,108.154,108.765,108.134,108.643,223221.36969999998
15.01.2019 22:00:00.000,108.632,109.195,108.370,109.087,173506.09869999997
16.01.2019 22:00:00.000,109.087,109.398,108.686,109.250,208932.64979999998
17.01.2019 22:00:00.000,109.249,109.889,109.056,109.769,206625.15950000004
18.01.2019 22:00:00.000,109.769,109.769,109.769,109.769,0
19.01.2019 22:00:00.000,109.769,109.769,109.769,109.769,0
20.01.2019 22:00:00.000,109.679,109.767,109.474,109.655,123141.82909999997
21.01.2019 22:00:00.000,109.656,109.693,109.146,109.357,179563.9116
22.01.2019 22:00:00.000,109.357,109.999,109.322,109.593,186379.3294
23.01.2019 22:00:00.000,109.588,109.799,109.421,109.632,188449.25129999995
24.01.2019 22:00:00.000,109.628,109.949,109.453,109.539,194198.1885
25.01.2019 22:00:00.000,109.539,109.539,109.539,109.539,0
26.01.2019 22:00:00.000,109.539,109.539,109.539,109.539,0
27.01.2019 22:00:00.000,109.543,109.576,109.160,109.332,173187.4191
28.01.2019 22:00:00.000,109.329,109.541,109.129,109.385,176561.48979999998
29.01.2019 22:00:00.000,109.385,109.743,108.808,109.033,187840.2317
30.01.2019 22:00:00.000,109.035,109.071,108.497,108.861,181622.23029999997
31.01.2019 22:00:00.000,108.858,109.580,108.725,109.504,157843.56990000003
01.02.2019 22:00:00.000,109.504,109.504,109.504,109.504,0
02.02.2019 22:00:00.000,109.504,109.504,109.504,109.504,0
03.02.2019 22:00:00.000,109.510,110.161,109.432,109.874,148140.67080000002
04.02.2019 22:00:00.000,109.874,110.041,109.778,109.960,133086.4702
05.02.2019 22:00:00.000,109.960,110.051,109.560,109.964,145435.23940000002
06.02.2019 22:00:00.000,109.963,110.086,109.605,109.804,185201.84019999998
07.02.2019 22:00:00.000,109.791,109.897,109.648,109.724,154230.0394
08.02.2019 22:00:00.000,109.724,109.724,109.724,109.724,0
09.02.2019 22:00:00.000,109.724,109.724,109.724,109.724,0
10.02.2019 22:00:00.000,109.729,110.468,109.729,110.361,133273.1285
11.02.2019 22:00:00.000,110.361,110.651,110.336,110.476,147022.3415
12.02.2019 22:00:00.000,110.462,111.052,110.420,111.002,130876.78029999998
13.02.2019 22:00:00.000,111.003,111.128,110.448,110.466,169298.2095
14.02.2019 22:00:00.000,110.463,110.645,110.252,110.458,166996.1302
15.02.2019 22:00:00.000,110.458,110.458,110.458,110.458,0
16.02.2019 22:00:00.000,110.458,110.458,110.458,110.458,0
17.02.2019 22:00:00.000,110.439,110.652,110.439,110.591,150355.05919999996
18.02.2019 22:00:00.000,110.590,110.823,110.453,110.615,153192.13019999999
19.02.2019 22:00:00.000,110.612,110.950,110.523,110.845,168304.36959999998
20.02.2019 22:00:00.000,110.839,110.861,110.568,110.692,171116.4892
21.02.2019 22:00:00.000,110.691,110.905,110.557,110.637,153709.2392
22.02.2019 22:00:00.000,110.637,110.637,110.637,110.637,0
23.02.2019 22:00:00.000,110.637,110.637,110.637,110.637,0
24.02.2019 22:00:00.000,110.649,111.234,110.577,111.061,164599.5392
25.02.2019 22:00:00.000,111.061,111.078,110.424,110.580,184322.37150000004
26.02.2019 22:00:00.000,110.581,111.074,110.351,110.989,174296.9603
27.02.2019 22:00:00.000,110.985,111.493,110.661,111.381,180614.70890000003
28.02.2019 22:00:00.000,111.379,112.077,111.324,111.906,176697.0004
01.03.2019 22:00:00.000,111.906,111.906,111.906,111.906,0
02.03.2019 22:00:00.000,111.906,111.906,111.906,111.906,0
03.03.2019 22:00:00.000,111.851,112.013,111.640,111.737,168609.3694
04.03.2019 22:00:00.000,111.733,112.137,111.713,111.877,145953.16719999997
05.03.2019 22:00:00.000,111.877,111.922,111.615,111.759,144186.9798
