Gmt time,EURUSD,CADUSD,GBPUSD,JPYUSD
2019-01-07 00:00:00,1.1409200000000002,0.7475350033265309,1.27349,0.009218798974869555
2019-01-07 01:00:00,1.1421,0.7481278101550869,1.2741799999999999,0.009227731177735331
2019-01-07 02:00:00,1.142,0.748463778095459,1.27429,0.00923924090396733
2019-01-07 03:00:00,1.14225,0.7486262707930947,1.27482,0.00924752859798219
2019-01-07 04:00:00,1.1420299999999999,0.7486655037395842,1.27447,0.009233525082870887
2019-01-07 05:00:00,1.14234,0.7486767139081673,1.2748700000000002,0.009242912996459964
2019-01-07 06:00:00,1.14164,0.748637479786788,1.27464,0.00924129008409574
2019-01-07 07:00:00,1.14362,0.7490131751417508,1.27483,0.009243254734857237
2019-01-07 08:00:00,1.14313,0.7484749822237192,1.27271,0.009242571283331023
2019-01-07 09:00:00,1.1441299999999999,0.7483797578243104,1.27499,0.009242485858996636
2019-01-07 10:00:00,1.1438700000000002,0.7483293547155974,1.27311,0.009229349330872175
2019-01-07 11:00:00,1.14404,0.7485870419583037,1.2754299999999998,0.009228838273838089
2019-01-07 12:00:00,1.14393,0.7489795154102535,1.27472,0.009237021984112321
2019-01-07 13:00:00,1.1457600000000001,0.7490468378987738,1.27652,0.009229008619894051
2019-01-07 14:00:00,1.14675,0.7496027105634014,1.2775,0.009232416862086158
2019-01-07 15:00:00,1.14635,0.751089079164789,1.27714,0.009222114630884862
2019-01-07 16:00:00,1.14673,0.7523378899931538,1.27566,0.009206238146968384
2019-01-07 17:00:00,1.1469,0.7523492104095036,1.27739,0.009207763986593495
2019-01-07 18:00:00,1.14741,0.7522473389250386,1.2767700000000002,0.009210817183700539
2019-01-07 19:00:00,1.14794,0.7522077296866302,1.2769700000000002,0.009208442299900548
2019-01-07 20:00:00,1.14767,0.7521002399199765,1.27696,0.00919912424337203
2019-01-07 21:00:00,1.1474,0.7520040909022545,1.2775,0.009199208868037349
2019-01-07 22:00:00,1.14753,0.7521511522955653,1.27839,0.00920352679146649
2019-01-07 23:00:00,1.1478899999999999,0.7520832706597275,1.27849,0.00920589914016902
2019-01-08 00:00:00,1.14678,0.7522869523350987,1.2778100000000001,0.00919667080516853
2019-01-08 01:00:00,1.1448200000000002,0.7519362358072035,1.27652,0.009211495946941784
2019-01-08 02:00:00,1.14503,0.7530347299617458,1.27714,0.009198616528074178
2019-01-08 03:00:00,1.14385,0.752637996176599,1.27577,0.009184591928580614
2019-01-08 04:00:00,1.1438700000000002,0.7529893677901268,1.27591,0.009175406241111324
2019-01-08 05:00:00,1.14437,0.7529440110833359,1.27631,0.009192443811187204
2019-01-08 06:00:00,1.14456,0.7533637692296102,1.27683,0.009184170164304804
2019-01-08 07:00:00,1.14438,0.7527456397208819,1.27624,0.009175911397399546
2019-01-08 08:00:00,1.14488,0.7531878676498279,1.2778200000000002,0.009181809000009181
2019-01-08 09:00:00,1.14519,0.7533524182612626,1.27664,0.009185098096847673
2019-01-08 10:00:00,1.14459,0.75297802810114,1.27577,0.00919802426438801
2019-01-08 11:00:00,1.14654,0.7531254707034192,1.27738,0.009197432076964112
2019-01-08 12:00:00,1.14495,0.7524058176017817,1.2748,0.009194134142417138
2019-01-08 13:00:00,1.1427399999999999,0.7516140912609829,1.2735,0.009185098096847673
2019-01-08 14:00:00,1.14386,0.7526776507425166,1.27263,0.009186279373128296
2019-01-08 15:00:00,1.14416,0.7525417096242559,1.27311,0.009206661940580204
2019-01-08 16:00:00,1.14431,0.7514164199516087,1.2722,0.009209629588697942
2019-01-08 17:00:00,1.14543,0.7520493344363389,1.2722799999999999,0.009209035906030998
2019-01-08 18:00:00,1.14409,0.7525530361752244,1.27118,0.009204458639765104
2019-01-08 19:00:00,1.14422,0.7529156659162607,1.27178,0.00920395033548399
2019-01-08 20:00:00,1.1440299999999999,0.7532389273877674,1.2719799999999999,0.00919430320973125
2019-01-08 21:00:00,1.14406,0.7534375588623092,1.2713299999999998,0.009197685862237062
2019-01-08 22:00:00,1.14405,0.7534262056702855,1.27119,0.009192443811187204
2019-01-08 23:00:00,1.14572,0.755041791563163,1.27383,0.00919531774420465
2019-01-09 00:00:00,1.1456,0.7545746085644218,1.27376,0.009198701143398552
2019-01-09 01:00:00,1.14574,0.7554011179936546,1.2737,0.009192021325489474
2019-01-09 02:00:00,1.14516,0.7554867223208552,1.27352,0.009182146234860935
2019-01-09 03:00:00,1.14543,0.7559378921427815,1.27354,0.009182905103858658
2019-01-09 04:00:00,1.1459700000000002,0.755932177765011,1.27427,0.009185773074661964
2019-01-09 05:00:00,1.14606,0.7558350465594389,1.27415,0.009186616936446984
2019-01-09 06:00:00,1.14586,0.7557493632811615,1.27347,0.009188305125236598
2019-01-09 07:00:00,1.14656,0.7557664983826596,1.27318,0.009181556090126155
2019-01-09 08:00:00,1.14629,0.7553954117282692,1.2767600000000001,0.00918518246364964
2019-01-09 09:00:00,1.1460299999999999,0.755418237307085,1.2753,0.009182230547444584
2019-01-09 10:00:00,1.1452200000000001,0.755201449986784,1.27261,0.00918391712433187
2019-01-09 11:00:00,1.14561,0.7556066009792661,1.27345,0.009181724695166739
2019-01-09 12:00:00,1.14504,0.7554581853894387,1.27417,0.009184254514061093
2019-01-09 13:00:00,1.14621,0.7549448890231013,1.27362,0.009195571412807593
2019-01-09 14:00:00,1.15245,0.7561207978586659,1.2781799999999999,0.009221179204396659
2019-01-09 15:00:00,1.1510200000000002,0.755366881694439,1.2742200000000001,0.009243169297888862
2019-01-09 16:00:00,1.15239,0.7569449701006737,1.27624,0.009225858235462353
