Gmt time,Open,High,Low,Close,Volume
07.01.2019 00:00:00.000,1.27319,1.27392,1.27286,1.27349,2897.8899
07.01.2019 01:00:00.000,1.27349,1.27451,1.27338,1.27418,3812.1799
07.01.2019 02:00:00.000,1.27418,1.27442,1.27392,1.27429,2396.8899
07.01.2019 03:00:00.000,1.27429,1.27491,1.27421,1.27482,2753.6699
07.01.2019 04:00:00.000,1.27482,1.27506,1.27444,1.27447,2833.6001
07.01.2019 05:00:00.000,1.27445,1.27504,1.27433,1.27487,3087.8201
07.01.2019 06:00:00.000,1.27486,1.27515,1.27419,1.27464,3937.0801
07.01.2019 07:00:00.000,1.27464,1.27507,1.27397,1.27483,9618.0098
07.01.2019 08:00:00.000,1.27483,1.27549,1.27202,1.27271,13446.1104
07.01.2019 09:00:00.000,1.27269,1.27648,1.27231,1.27499,12939.3701
07.01.2019 10:00:00.000,1.27498,1.27533,1.27262,1.27311,10474.3896
07.01.2019 11:00:00.000,1.27311,1.27555,1.27304,1.27543,10393.5596
07.01.2019 12:00:00.000,1.27541,1.27606,1.27463,1.27472,11658.0996
07.01.2019 13:00:00.000,1.27472,1.27674,1.27472,1.27652,14279.3096
07.01.2019 14:00:00.000,1.27651,1.27803,1.27630,1.27750,16331.5898
07.01.2019 15:00:00.000,1.27751,1.27867,1.27583,1.27714,17874.2695
07.01.2019 16:00:00.000,1.27715,1.27752,1.27519,1.27566,17326.0391
07.01.2019 17:00:00.000,1.27566,1.27761,1.27558,1.27739,6852.29
07.01.2019 18:00:00.000,1.27739,1.27789,1.27648,1.27677,6128.2002
07.01.2019 19:00:00.000,1.27678,1.27717,1.27642,1.27697,4822.48
07.01.2019 20:00:00.000,1.27697,1.27714,1.27630,1.27696,5674.9199
07.01.2019 21:00:00.000,1.27697,1.27815,1.27655,1.27750,2876.8899
07.01.2019 22:00:00.000,1.27730,1.27886,1.27717,1.27839,2780.5901
07.01.2019 23:00:00.000,1.27841,1.27890,1.27818,1.27849,2824.4199
08.01.2019 00:00:00.000,1.27849,1.27867,1.27779,1.27781,4081.28
08.01.2019 01:00:00.000,1.27781,1.27800,1.27639,1.27652,7633.3901
08.01.2019 02:00:00.000,1.27650,1.27735,1.27628,1.27714,5802.2002
08.01.2019 03:00:00.000,1.27714,1.27726,1.27568,1.27577,5662.52
08.01.2019 04:00:00.000,1.27578,1.27614,1.27537,1.27591,4779.21
08.01.2019 05:00:00.000,1.27591,1.27637,1.27587,1.27631,4524.5698
08.01.2019 06:00:00.000,1.27630,1.27840,1.27597,1.27683,6111.5098
08.01.2019 07:00:00.000,1.27684,1.27970,1.27594,1.27624,11660.04
08.01.2019 08:00:00.000,1.27622,1.27830,1.27462,1.27782,11463.3701
08.01.2019 09:00:00.000,1.27782,1.27857,1.27652,1.27664,13057.25
08.01.2019 10:00:00.000,1.27664,1.27664,1.27474,1.27577,13720.8604
08.01.2019 11:00:00.000,1.27576,1.27797,1.27445,1.27738,12806.54
08.01.2019 12:00:00.000,1.27738,1.27782,1.27397,1.27480,11841.0801
08.01.2019 13:00:00.000,1.27481,1.27545,1.27276,1.27350,13566.5996
08.01.2019 14:00:00.000,1.27352,1.27463,1.27259,1.27263,16059.4297
08.01.2019 15:00:00.000,1.27261,1.27359,1.27110,1.27311,16480.5703
08.01.2019 16:00:00.000,1.27308,1.27393,1.27198,1.27220,15193.0898
08.01.2019 17:00:00.000,1.27219,1.27243,1.27080,1.27228,6979.23
08.01.2019 18:00:00.000,1.27228,1.27251,1.27099,1.27118,5831.73
08.01.2019 19:00:00.000,1.27117,1.27181,1.27066,1.27178,4329.8799
08.01.2019 20:00:00.000,1.27178,1.27209,1.27121,1.27198,4748.7598
08.01.2019 21:00:00.000,1.27197,1.27197,1.27119,1.27133,2182.8201
08.01.2019 22:00:00.000,1.27122,1.27206,1.27068,1.27119,1912.6899
08.01.2019 23:00:00.000,1.27119,1.27387,1.27115,1.27383,7671.71
09.01.2019 00:00:00.000,1.27383,1.27410,1.27306,1.27376,6282.29
09.01.2019 01:00:00.000,1.27378,1.27485,1.27370,1.27370,9882.9697
09.01.2019 02:00:00.000,1.27370,1.27406,1.27337,1.27352,6267.4399
09.01.2019 03:00:00.000,1.27353,1.27418,1.27326,1.27354,6139.4199
09.01.2019 04:00:00.000,1.27353,1.27427,1.27332,1.27427,5042.77
09.01.2019 05:00:00.000,1.27426,1.27482,1.27387,1.27415,4995.8198
09.01.2019 06:00:00.000,1.27415,1.27424,1.27343,1.27347,3834.76
09.01.2019 07:00:00.000,1.27347,1.27472,1.27296,1.27318,9903.0498
09.01.2019 08:00:00.000,1.27317,1.27773,1.27315,1.27676,18451.0898
09.01.2019 09:00:00.000,1.27674,1.27678,1.27461,1.27530,16043.2002
09.01.2019 10:00:00.000,1.27527,1.27533,1.27157,1.27261,14568.9102
09.01.2019 11:00:00.000,1.27262,1.27370,1.27200,1.27345,14511.0098
09.01.2019 12:00:00.000,1.27345,1.27566,1.27233,1.27417,13339.6797
09.01.2019 13:00:00.000,1.27418,1.27460,1.27288,1.27362,15503.5195
09.01.2019 14:00:00.000,1.27362,1.27901,1.27353,1.27818,24594.7793
09.01.2019 15:00:00.000,1.27818,1.28033,1.27343,1.27422,26209.5508
09.01.2019 16:00:00.000,1.27423,1.27698,1.27375,1.27624,21408.6699
09.01.2019 17:00:00.000,1.27624,1.27797,1.27521,1.27752,13099.25
09.01.2019 18:00:00.000,1.27751,1.27892,1.27721,1.27825,9431.9697
09.01.2019 19:00:00.000,1.27825,1.27983,1.27796,1.27943,16574.9199
09.01.2019 20:00:00.000,1.27943,1.28027,1.27920,1.28019,7764.75
09.01.2019 21:00:00.000,1.28023,1.28031,1.27864,1.27882,3004.5
09.01.2019 22:00:00.000,1.27889,1.27987,1.27749,1.27973,3781.3799
09.01.2019 23:00:00.000,1.27973,1.27998,1.27935,1.27982,4568.3398
10.01.2019 00:00:00.000,1.27984,1.28008,1.27896,1.27939,7476.3701
10.01.2019 01:00:00.000,1.27942,1.27973,1.27785,1.27847,9313.2695
10.01.2019 02:00:00.000,1.27848,1.27886,1.27767,1.27820,8083.1802
10.01.2019 03:00:00.000,1.27820,1.27984,1.27818,1.27968,6932.5601
10.01.2019 04:00:00.000,1.27969,1.27969,1.27814,1.27831,5087.3501
10.01.2019 05:00:00.000,1.27828,1.27878,1.27799,1.27869,4045.01
10.01.2019 06:00:00.000,1.27867,1.27937,1.27768,1.27800,6175.2998
10.01.2019 07:00:00.000,1.27798,1.27841,1.27504,1.27619,10996.8799
10.01.2019 08:00:00.000,1.27612,1.27735,1.27477,1.27489,16116.46
10.01.2019 09:00:00.000,1.27492,1.27674,1.27471,1.27629,13135.2695
10.01.2019 10:00:00.000,1.27626,1.27665,1.27477,1.27505,13879.7402
10.01.2019 11:00:00.000,1.27504,1.27628,1.27278,1.27412,13402.79
10.01.2019 12:00:00.000,1.27412,1.27473,1.27313,1.27473,14350.3799
10.01.2019 13:00:00.000,1.27472,1.27780,1.27469,1.27623,16623.8301
10.01.2019 14:00:00.000,1.27624,1.27690,1.27544,1.27572,16067.9697
10.01.2019 15:00:00.000,1.27574,1.27803,1.27428,1.27788,16237.7998
10.01.2019 16:00:00.000,1.27790,1.27802,1.27592,1.27661,15747.9502
10.01.2019 17:00:00.000,1.27662,1.27679,1.27398,1.27502,12294.2305
10.01.2019 18:00:00.000,1.27502,1.27645,1.27417,1.27470,12633.9805
10.01.2019 19:00:00.000,1.27468,1.27544,1.27448,1.27452,7222.6001
10.01.2019 20:00:00.000,1.27451,1.27462,1.27407,1.27452,3321.77
10.01.2019 21:00:00.000,1.27451,1.27534,1.27418,1.27418,2601.8899
10.01.2019 22:00:00.000,1.27418,1.27546,1.27384,1.27437,2481.8201
10.01.2019 23:00:00.000,1.27437,1.27541,1.27437,1.27526,2798.8101
11.01.2019 00:00:00.000,1.27526,1.27576,1.27462,1.27492,3403
11.01.2019 01:00:00.000,1.27491,1.27590,1.27491,1.27554,8397.75
11.01.2019 02:00:00.000,1.27553,1.27584,1.27511,1.27573,5956.0898
11.01.2019 03:00:00.000,1.27573,1.27610,1.27537,1.27596,3429.23
11.01.2019 04:00:00.000,1.27594,1.27677,1.27577,1.27669,5721.21
11.01.2019 05:00:00.000,1.27669,1.27678,1.27558,1.27606,3824.0901
11.01.2019 06:00:00.000,1.27607,1.27630,1.27509,1.27558,3721.1799
11.01.2019 07:00:00.000,1.27560,1.27625,1.27416,1.27521,7690.27
11.01.2019 08:00:00.000,1.27519,1.27641,1.27305,1.27377,15097.8496
11.01.2019 09:00:00.000,1.27376,1.27584,1.27096,1.27520,14931.75
11.01.2019 10:00:00.000,1.27522,1.28512,1.27481,1.28224,18838.7305
11.01.2019 11:00:00.000,1.28226,1.28370,1.27737,1.28232,20848.5195
11.01.2019 12:00:00.000,1.28232,1.28296,1.28039,1.28050,15784.71
11.01.2019 13:00:00.000,1.28050,1.28284,1.27987,1.28233,19277.8496
11.01.2019 14:00:00.000,1.28232,1.28285,1.27754,1.27903,23842.7598
11.01.2019 15:00:00.000,1.27902,1.28229,1.27875,1.28221,19079.5898
11.01.2019 16:00:00.000,1.28223,1.28375,1.28162,1.28342,17730.5996
11.01.2019 17:00:00.000,1.28342,1.28655,1.28334,1.28590,10945.1201
11.01.2019 18:00:00.000,1.28587,1.28621,1.28482,1.28501,6960.98
11.01.2019 19:00:00.000,1.28500,1.28535,1.28419,1.28448,4978.5
11.01.2019 20:00:00.000,1.28447,1.28466,1.28318,1.28449,5914.4702
11.01.2019 21:00:00.000,1.28448,1.28487,1.28341,1.28347,2985.3899
11.01.2019 22:00:00.000,1.28347,1.28347,1.28347,1.28347,0
11.01.2019 23:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 00:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 01:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 02:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 03:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 04:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 05:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 06:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 07:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 08:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 09:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 10:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 11:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 12:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 13:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 14:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 15:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 16:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 17:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 18:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 19:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 20:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 21:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 22:00:00.000,1.28347,1.28347,1.28347,1.28347,0
12.01.2019 23:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 00:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 01:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 02:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 03:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 04:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 05:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 06:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 07:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 08:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 09:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 10:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 11:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 12:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 13:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 14:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 15:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 16:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 17:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 18:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 19:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 20:00:00.000,1.28347,1.28347,1.28347,1.28347,0
13.01.2019 21:00:00.000,1.28347,1.28347,1.28347,1.28347,0
