EURUSD,CADUSD,GBPUSD,JPYUSD,Gmt time
1.0029194273027637,0.9980974296500174,1.0048531852469462,1.0001655857596246,2019-01-07 22:00:00
0.9912404585113112,0.995140327745338,0.9941430381132605,0.994803307487836,2019-01-08 22:00:00
1.0036784527888414,1.001998788612962,1.0036415577077025,1.0024686107361453,2019-01-09 22:00:00
1.0029479486463857,1.0022970440669767,0.9927618097812958,1.0009499654138807,2019-01-10 22:00:00
1.0,1.0,1.0,1.0,2019-01-11 22:00:00
1.0,1.0,1.0,1.0,2019-01-12 22:00:00
0.9997994401764927,1.0014926723358062,0.9981723724938173,0.9965815273477813,2019-01-13 22:00:00
1.0048895470596997,0.9985246074401939,0.9999455629952795,1.004493467829174,2019-01-14 22:00:00
1.0018435445216003,0.9990275160196005,0.9985633745942505,1.004086779636056,2019-01-15 22:00:00
1.0002722163681068,1.0017959417752658,0.9917593419796061,1.0014942202095576,2019-01-16 22:00:00
1.0023412607601176,0.9991262362627016,1.0089202461614968,1.0047505720823797,2019-01-17 22:00:00
1.0,1.0,1.0,1.0,2019-01-18 22:00:00
1.0,1.0,1.0,1.0,2019-01-19 22:00:00
0.9996128737088459,1.0020883122366049,0.998370905931454,0.9989614554200185,2019-01-20 22:00:00
1.0005546018750824,1.0046569365031597,0.9951134407398544,0.9972823856641286,2019-01-21 22:00:00
0.9981284268241248,0.9990265016212493,0.9913218491960849,1.0021580694422851,2019-01-22 22:00:00
1.0069722173066713,1.000712095885585,1.0004057571581686,1.0003558621444801,2019-01-23 22:00:00
0.9911252981619195,0.9898954338446788,0.9896654139895746,0.9991517075306479,2019-01-24 22:00:00
1.0,1.0,1.0,1.0,2019-01-25 22:00:00
1.0,1.0,1.0,1.0,2019-01-26 22:00:00
0.9979084807168922,1.0035034618440468,1.003421168671218,0.9981102620984309,2019-01-27 22:00:00
0.9996850586578251,1.0004901295450088,1.0066814122041006,1.0004847620092927,2019-01-28 22:00:00
0.9958270172320666,0.9909182035377553,0.9962334642217224,0.9967820085020798,2019-01-29 22:00:00
1.0027868293918771,0.9980833295304159,1.0007095878286612,0.9984224959415957,2019-01-30 22:00:00
0.9993015967244887,0.9981406123786445,1.002470571137916,1.0059066148574787,2019-01-31 22:00:00
1.0,1.0,1.0,1.0,2019-02-01 22:00:00
1.0,1.0,1.0,1.0,2019-02-02 22:00:00
1.0016965011849275,1.0008703485975172,1.0030766161825408,1.0033788720046757,2019-02-03 22:00:00
1.0026215652234907,1.0011670836638797,1.0065720883177462,1.0007827147459818,2019-02-04 22:00:00
1.0038374201270925,1.006514335347317,1.0015624395714893,1.0000363768643143,2019-02-05 22:00:00
1.0020107593262193,1.0073048507236722,0.9982010222517333,0.9985449783565531,2019-02-06 22:00:00
1.001616507813121,0.9977305007176729,1.0005948656144499,0.9992714290918362,2019-02-07 22:00:00
1.0,1.0,1.0,1.0,2019-02-08 22:00:00
1.0,1.0,1.0,1.0,2019-02-09 22:00:00
1.0040175958280861,1.0018378060813304,1.0067040496504096,1.005805475556852,2019-02-10 22:00:00
0.9956115177790923,0.9950154498500123,0.9974091053656343,1.001042034776778,2019-02-11 22:00:00
1.005763663167617,1.0014280533139905,1.0036045153756326,1.0047612151055432,2019-02-12 22:00:00
0.9969454699992032,1.0029501195892467,1.0034842661166838,0.9951712581755283,2019-02-13 22:00:00
1.0001948195705113,0.9963213168030813,0.993318589221278,0.9999275795267322,2019-02-14 22:00:00
1.0,1.0,1.0,1.0,2019-02-15 22:00:00
1.0,1.0,1.0,1.0,2019-02-16 22:00:00
0.9986204579018579,0.9994034989693369,0.9973453656120366,1.0012040775679445,2019-02-17 22:00:00
0.9971869488536155,0.9980734360834088,0.9892657530051296,1.0002170158511994,2019-02-18 22:00:00
1.0003616827953672,0.9973203133870785,1.000919610698138,1.0020792840030737,2019-02-19 22:00:00
1.0002294124394482,1.0041441810688343,1.0010049171902209,0.9986196941675314,2019-02-20 22:00:00
1.0001235450365782,0.9927209233769473,0.9989654696767668,0.9995031257904816,2019-02-21 22:00:00
1.0,1.0,1.0,1.0,2019-02-22 22:00:00
1.0,1.0,1.0,1.0,2019-02-23 22:00:00
0.9978074809805578,1.004065969208278,0.996464488343502,1.0038323526487525,2019-02-24 22:00:00
0.9971902219724643,0.9986046652713321,0.9883397986445488,0.9956690467400797,2019-02-25 22:00:00
1.0017151451716464,0.9989976003159078,0.995754018652258,1.003698679688913,2019-02-26 22:00:00
0.9999032575810877,1.0011098272926293,1.0034234954340826,1.00353188153781,2019-02-27 22:00:00
1.0006248184946276,1.0097267991920913,1.0047733420213212,1.0047135507851428,2019-02-28 22:00:00
1.0,1.0,1.0,1.0,2019-03-01 22:00:00
1.0,1.0,1.0,1.0,2019-03-02 22:00:00
1.0021076952925199,1.0003233593274128,1.0014872483628885,0.9984898039425948,2019-03-03 22:00:00
1.002838874001751,1.00348814481815,1.000106243312363,1.0012529421767185,2019-03-04 22:00:00
1.0001061373948577,1.0069445484919766,1.000653063704086,0.9989452702521517,2019-03-05 22:00:00
1.0101135541280635,1.0009597285976803,1.0067659515909542,0.9981746436528602,2019-03-06 22:00:00
0.9965987303113674,0.99737628398567,1.005310849966567,0.9964232889606024,2019-03-07 22:00:00
1.0,1.0,1.0,1.0,2019-03-08 22:00:00
1.0,1.0,1.0,1.0,2019-03-09 22:00:00
0.9988527214514408,0.9980549821520391,0.9895426129017537,1.0003418618877973,2019-03-10 21:00:00
0.9962697477427986,0.9969909204945941,1.005936806671257,1.0013489936507365,2019-03-11 21:00:00
